"","pval","qval","gene","lineage"
"Nt5dc2",3.59070373957075e-08,1.93048588148965e-07,"Nt5dc2",1
"Herpud1",7.35592759524031e-19,7.31399585563973e-18,"Herpud1",1
"Palld",0.0768229369291575,0.185347881864777,"Palld",1
"Slc16a9",0.0548885940620739,0.137218948295768,"Slc16a9",1
"C5ar1",6.42474778690076e-09,3.69238378557515e-08,"C5ar1",1
"Stx3",0.000191269585149593,0.000744239630932269,"Stx3",1
"Scn1b",0.0748260435415665,0.181616610537783,"Scn1b",1
"Lhfpl2",1.88079641348784e-05,8.05480262735692e-05,"Lhfpl2",1
"Ifi208",0.0283421611460722,0.0758826268971143,"Ifi208",1
"Hmgn2",4.31739628169223e-06,1.9360521442566e-05,"Hmgn2",1
"Dtl",0.931953891740821,0.999838547650833,"Dtl",1
"Gins2",0.691886817980552,0.999838547650833,"Gins2",1
"Plk3",4.79879491783033e-07,2.34087556967333e-06,"Plk3",1
"Fam46a",2.33378089977184e-23,2.99202679457928e-22,"Fam46a",1
"Dennd4a",1.16456394329453e-06,5.5192603947608e-06,"Dennd4a",1
"St3gal5",1.13229433079789e-81,7.07683956748682e-80,"St3gal5",1
"Pfkp",0.00982553265644977,0.0288138787579172,"Pfkp",1
"Cmpk2",0.00265955173813178,0.00862091325164271,"Cmpk2",1
"Flt1",0.698669426192245,0.999838547650833,"Flt1",1
"Knstrn",0.700673549326938,0.999838547650833,"Knstrn",1
"F630028O10Rik",0.00174654671641137,0.00588062867478575,"F630028O10Rik",1
"Foxm1",0.985762158504379,0.999838547650833,"Foxm1",1
"H2-Q6",0.000146004578250258,0.000571446490216273,"H2-Q6",1
"Zfp36l1",1.45025186096865e-13,1.1198856069256e-12,"Zfp36l1",1
"Rgs2",0.127432880500482,0.28797405992616,"Rgs2",1
"Pira2",1.05810730896618e-11,7.24731033538482e-11,"Pira2",1
"Pxdc1",2.24983702325669e-09,1.3594181409406e-08,"Pxdc1",1
"Cd93",1.1469695293452e-07,5.85188535380202e-07,"Cd93",1
"Rapsn",0.00144084996912109,0.00493441770246948,"Rapsn",1
"Slco3a1",0.107679552365779,0.248970063273476,"Slco3a1",1
"Apoe",1.68453633035078e-37,3.33571550564511e-36,"Apoe",1
"Oasl2",4.63058359678184e-41,1.05240536290496e-39,"Oasl2",1
"Kcnj10",0.00513091489157127,0.0157390027348812,"Kcnj10",1
"Rtn1",0.467912426135275,0.812347962040408,"Rtn1",1
"Myo1e",0.0507180295617768,0.127914324241556,"Myo1e",1
"Mcm4",0.722591538951941,0.999838547650833,"Mcm4",1
"Gyg",0.0404718671907319,0.104443528234147,"Gyg",1
"Pola1",0.745756488610317,0.999838547650833,"Pola1",1
"Il2rg",2.39602624380922e-12,1.72998284751568e-11,"Il2rg",1
"Rnf19b",4.18754876199395e-21,4.62712570386072e-20,"Rnf19b",1
"Irgm1",1.20311214527517e-19,1.24674833707272e-18,"Irgm1",1
"Cenps",0.844098494417334,0.999838547650833,"Cenps",1
"Zbtb20",1.28098595491764e-07,6.48600483502604e-07,"Zbtb20",1
"B430306N03Rik",2.72410734571758e-08,1.4804931226726e-07,"B430306N03Rik",1
"Pdlim1",0.509371808172032,0.860425351641946,"Pdlim1",1
