"","pval","qval","gene","lineage"
"Gm16104",0.889732961567655,0.999838547650833,"Gm16104",1
"Cd44",3.91685016791549e-73,1.86516674662642e-71,"Cd44",1
"Lcmt2",0.76246890022652,0.999838547650833,"Lcmt2",1
"Gm12216",0.821026225003057,0.999838547650833,"Gm12216",1
"Gm16287",0.881575267212224,0.999838547650833,"Gm16287",1
"Cd38",3.28828210306921e-54,1.04389908033943e-52,"Cd38",1
"Depdc1a",0.995792224535585,0.999838547650833,"Depdc1a",1
"Gm20658",0.974583339121489,0.999838547650833,"Gm20658",1
"Heg1",0.0116305330075421,0.0337116898769337,"Heg1",1
"Itga5",0.495481269203115,0.844810348172405,"Itga5",1
"Rgs18",0.887944727538859,0.999838547650833,"Rgs18",1
"Ttc28",0.259574800810093,0.52812777377435,"Ttc28",1
"Bzw1",0.0803945590249439,0.192561818023818,"Bzw1",1
"Cdkn2c",0.57716798941032,0.925898252136092,"Cdkn2c",1
"Tec",0.0331239741312158,0.0873983486311762,"Tec",1
"Rabgef1",0.627610557359641,0.972285913802698,"Rabgef1",1
"Atp2a2",0.186301669427164,0.398080490228984,"Atp2a2",1
"Dhcr24",0.703028282289743,0.999838547650833,"Dhcr24",1
"Kctd14",0.859173040666994,0.999838547650833,"Kctd14",1
"Ccdc148",0.640036802431412,0.977956213752432,"Ccdc148",1
"Zc3h12a",0.111375786879103,0.255843551295391,"Zc3h12a",1
"Zbtb46",0.947721633018934,0.999838547650833,"Zbtb46",1
"Dip2c",0.0583997460065917,0.144732951689199,"Dip2c",1
"Osbpl8",0.472078320537646,0.817451637294626,"Osbpl8",1
"Atp5g3",0.111419866589143,0.255843551295391,"Atp5g3",1
"Nab2",0.040255189548197,0.10401857764392,"Nab2",1
"Dusp18",0.813314614489477,0.999838547650833,"Dusp18",1
"Foxp4",0.656325379815795,0.990004669364159,"Foxp4",1
"Nek2",0.980394865683525,0.999838547650833,"Nek2",1
"Isy1",0.512314429067145,0.861417233131913,"Isy1",1
"Bank1",6.379488608414e-11,4.16960039765621e-10,"Bank1",1
"Ncaph",0.926158157049138,0.999838547650833,"Ncaph",1
"Slc25a30",0.651475910368391,0.985818833993927,"Slc25a30",1
"Mvd",0.457587309994147,0.802784754375696,"Mvd",1
"Stxbp3",0.0144277205737418,0.0411046170192075,"Stxbp3",1
"Csad",0.81802697352825,0.999838547650833,"Csad",1
"Dctpp1",0.00123452599486526,0.00430123454835902,"Dctpp1",1
"Zcchc2",0.0444991986799697,0.1142469799229,"Zcchc2",1
"Ets1",0.72824331747074,0.999838547650833,"Ets1",1
"Bhlhe41",0.202794852310524,0.4287417596417,"Bhlhe41",1
"Herc6",2.77311537637143e-06,1.26050698925974e-05,"Herc6",1
"Stard4",0.458772635056688,0.804158869512161,"Stard4",1
"Sag",0.972394179468474,0.999838547650833,"Sag",1
"Atad5",0.884803368955235,0.999838547650833,"Atad5",1
"Tmx4",0.0139986018299257,0.0399960052283591,"Tmx4",1
"Rbp4",0.630542296947302,0.973571825937871,"Rbp4",1
"D10Wsu102e",0.712797410837515,0.999838547650833,"D10Wsu102e",1
"B430010I23Rik",0.514266088179752,0.861417233131913,"B430010I23Rik",1
"Plekhg5",0.94274793776756,0.999838547650833,"Plekhg5",1
"Metrn",0.487382080788636,0.836707434830276,"Metrn",1
"Fnbp1l",0.0367401045057513,0.0960525607993497,"Fnbp1l",1
"Gm28192",0.996540485418268,0.999838547650833,"Gm28192",1
"Gm36839",0.579562405288614,0.928100131083892,"Gm36839",1
"Cdc25c",0.996045742533647,0.999838547650833,"Cdc25c",1
"Msrb1",1.66345058480553e-41,3.91400137601301e-40,"Msrb1",1
"Cald1",0.471990691802575,0.817451637294626,"Cald1",1
"Gm4070",0.70216645888391,0.999838547650833,"Gm4070",1
"Nt5e",0.964997339291379,0.999838547650833,"Nt5e",1
"Car7",0.938685131231212,0.999838547650833,"Car7",1
"Ophn1",0.000409915584554569,0.00152102257719692,"Ophn1",1
"1500002C15Rik",0.926678879791713,0.999838547650833,"1500002C15Rik",1
"Dkk2",0.958088154141132,0.999838547650833,"Dkk2",1
"Rif1",0.642140186631026,0.977956213752432,"Rif1",1
"Adgrg5",0.498985577247945,0.847893929053433,"Adgrg5",1
"Pcyox1",0.0001227718381459,0.000484307053829981,"Pcyox1",1
"Cyr61",0.819806136669603,0.999838547650833,"Cyr61",1
"Lpar6",0.157777256651099,0.344868320548851,"Lpar6",1
"Brip1",0.969990238263343,0.999838547650833,"Brip1",1
"Treml2",0.612344332689742,0.96212901110471,"Treml2",1
"Bcl11a",0.958830986940853,0.999838547650833,"Bcl11a",1
"Arf2",0.00157301717381025,0.00534131468186842,"Arf2",1
"Uaca",0.967779630677555,0.999838547650833,"Uaca",1
"Smim5",0.996448485998814,0.999838547650833,"Smim5",1
"Poglut1",0.849691257584906,0.999838547650833,"Poglut1",1
"Espl1",0.598146472828738,0.949438845759901,"Espl1",1
"B4galnt1",1.08993476630679e-07,5.60377771880098e-07,"B4galnt1",1
"Serpinb6b",0.936484152278028,0.999838547650833,"Serpinb6b",1
"Gna15",0.000385033295219766,0.0014340159970941,"Gna15",1
"Mthfd2",0.66568938445992,0.996540994700479,"Mthfd2",1
"Abcc3",0.00426969627313098,0.0133636816060438,"Abcc3",1
"Itga4",9.62113753878699e-11,6.1872267130463e-10,"Itga4",1
"Fzd4",0.781978336883927,0.999838547650833,"Fzd4",1
"Rarres1",0.873929823610955,0.999838547650833,"Rarres1",1
"Hist2h4",0.951610272753799,0.999838547650833,"Hist2h4",1
"Arhgap19",0.000996952095509213,0.00349195129775556,"Arhgap19",1
"Cdo1",0.965910717753261,0.999838547650833,"Cdo1",1
"Mgp",0.888284861303018,0.999838547650833,"Mgp",1
"Runx2",0.529453412181343,0.878245878722528,"Runx2",1
"Cd164",1.35514972094095e-22,1.64260572235267e-21,"Cd164",1
"Fabp3",0.917638724724308,0.999838547650833,"Fabp3",1
"Plcb1",0.922376629038903,0.999838547650833,"Plcb1",1
"Ier5",9.98224242135593e-05,0.000399230304118359,"Ier5",1
"Sorl1",0.00984217713491946,0.0288204308489589,"Sorl1",1
"Flrt2",0.982954159665765,0.999838547650833,"Flrt2",1
"Kif14",0.998507018465464,0.999838547650833,"Kif14",1
"Ccdc152",0.817996387754994,0.999838547650833,"Ccdc152",1
"Tfpi",0.881256275832215,0.999838547650833,"Tfpi",1
"Fmo2",0.979823439102455,0.999838547650833,"Fmo2",1
"Slc27a1",0.17123121788031,0.369898100192477,"Slc27a1",1
"Atp6v1b2",4.73663253669476e-12,3.33565671598222e-11,"Atp6v1b2",1
"Hal",0.963589475910212,0.999838547650833,"Hal",1
"Naip1",0.277761585946859,0.554414343207302,"Naip1",1
"Ffar2",0.965060180215047,0.999838547650833,"Ffar2",1
"Esd",0.710727850194424,0.999838547650833,"Esd",1
"Fam83f",0.764213412485509,0.999838547650833,"Fam83f",1
"Mrap",0.0156998581926411,0.0444126115774853,"Mrap",1
"Ubash3b",0.758184350328766,0.999838547650833,"Ubash3b",1
"Rasgef1b",1.1185449690111e-30,1.76148814017496e-29,"Rasgef1b",1
"Ndufaf4",0.852596343702927,0.999838547650833,"Ndufaf4",1
"Cpeb2",0.461749005721367,0.806459641189294,"Cpeb2",1
"C330027C09Rik",0.978278368729461,0.999838547650833,"C330027C09Rik",1
"Cenpq",0.870925428135291,0.999838547650833,"Cenpq",1
"Efcc1",0.995917475591438,0.999838547650833,"Efcc1",1
"Gpt2",0.576197064093685,0.925898252136092,"Gpt2",1
"Zfp366",0.592474687434582,0.942680489156057,"Zfp366",1
"Gm20406",0.995806638494496,0.999838547650833,"Gm20406",1
"H2-T23",4.62614209065908e-63,1.74571399647512e-61,"H2-T23",1
"Neb",0.987968242923499,0.999838547650833,"Neb",1
"Enah",0.901270070085932,0.999838547650833,"Enah",1
"Gm38832",0.132978586487073,0.29916442404291,"Gm38832",1
"Sptbn1",0.100755608719896,0.23541030074742,"Sptbn1",1
"Tubb2a",0.409587126393153,0.744027477553411,"Tubb2a",1
"Kcnn3",0.977635712153804,0.999838547650833,"Kcnn3",1
"Cenpk",0.94208635258593,0.999838547650833,"Cenpk",1
"Ptms",1.52532493480919e-22,1.82673644887328e-21,"Ptms",1
"Gata6",0.96143657775923,0.999838547650833,"Gata6",1
"Osgin2",0.8630655003312,0.999838547650833,"Osgin2",1
"Onecut2",0.939216508640456,0.999838547650833,"Onecut2",1
"Prr5l",0.0500561073560451,0.126564114680266,"Prr5l",1
"Idh3a",0.495411813264422,0.844810348172405,"Idh3a",1
"Dnaaf3",0.361348959726696,0.681790490050369,"Dnaaf3",1
"Nck1",0.00959916834411716,0.0282328480709328,"Nck1",1
"H3f3b",0.000994763920670542,0.00349039972165103,"H3f3b",1
"Rad18",0.900586513962993,0.999838547650833,"Rad18",1
"Btg1",5.70592508650868e-09,3.30778265884561e-08,"Btg1",1
"Eepd1",0.00010363565734773,0.0004128910651304,"Eepd1",1
"Krt8",0.716116281724921,0.999838547650833,"Krt8",1
"Cavin2",0.941810725571858,0.999838547650833,"Cavin2",1
"Rapgef2",0.00465729838912971,0.0144412353151309,"Rapgef2",1
"Hmgn1",4.02506262284823e-10,2.49229883767692e-09,"Hmgn1",1
"Me2",0.0322681361581543,0.0854785063792167,"Me2",1
"Gm14221",0.42875684477731,0.768381442253244,"Gm14221",1
"Ehd3",0.516676242581526,0.864413817390541,"Ehd3",1
"Diaph3",0.768476991909695,0.999838547650833,"Diaph3",1
"1700047M11Rik",0.992050411529615,0.999838547650833,"1700047M11Rik",1
"Gm26609",0.886256390395127,0.999838547650833,"Gm26609",1
"Txndc11",0.776672909726683,0.999838547650833,"Txndc11",1
"Ly6e",7.87709560938622e-110,9.26717130516026e-108,"Ly6e",1
"Pon2",7.18036127146721e-09,4.07975072242455e-08,"Pon2",1
"Ipcef1",0.790992632905605,0.999838547650833,"Ipcef1",1
"Frat2",0.482206622650649,0.829959763598363,"Frat2",1
"Dusp10",0.633207682239519,0.974629209788913,"Dusp10",1
"Impact",0.720537168921237,0.999838547650833,"Impact",1
"Adora2b",0.738897315971573,0.999838547650833,"Adora2b",1
"Rbpms2",0.92143336833588,0.999838547650833,"Rbpms2",1
"Ska3",0.996515909664554,0.999838547650833,"Ska3",1
"Trim30c",0.142279393606703,0.315240693381458,"Trim30c",1
"Vamp5",0.00153731486315465,0.00522896211957363,"Vamp5",1
"Fbxw10",0.965396402303641,0.999838547650833,"Fbxw10",1
"Xcr1",0.983640115062026,0.999838547650833,"Xcr1",1
"Chek1",0.903281252323272,0.999838547650833,"Chek1",1
"BC030867",0.985260094045445,0.999838547650833,"BC030867",1
"Cd209g",0.900254390924691,0.999838547650833,"Cd209g",1
"Tnfsf13os",0.134189827385805,0.301211733750405,"Tnfsf13os",1
"Pi16",0.883670391213788,0.999838547650833,"Pi16",1
"Gpr55",0.818569443729727,0.999838547650833,"Gpr55",1
"Def8",0.875699581159379,0.999838547650833,"Def8",1
"Nampt",1.60268527538605e-29,2.44684774868099e-28,"Nampt",1
"Trim29",0.985695472075934,0.999838547650833,"Trim29",1
"Cd79b",0.592155767254379,0.942680489156057,"Cd79b",1
"Lrrc59",0.436089226599466,0.777342649909922,"Lrrc59",1
"Csf3r",5.81333057122417e-06,2.58370247609963e-05,"Csf3r",1
"Gen1",0.868772613527367,0.999838547650833,"Gen1",1
"Ampd3",0.318428109747137,0.618959398820106,"Ampd3",1
"Tmem2",0.111951459705833,0.256769402995031,"Tmem2",1
"Rab20",8.26643389152924e-08,4.31667566137297e-07,"Rab20",1
"Tmem141",0.132052798799256,0.297416213511839,"Tmem141",1
"Gdpd3",0.000495783983389868,0.00181273851330847,"Gdpd3",1
"Kpna2",0.937875793810481,0.999838547650833,"Kpna2",1
"Man1a",0.689152883473406,0.999838547650833,"Man1a",1
"P2ry10b",0.347033483714816,0.658507559231151,"P2ry10b",1
"Klra17",0.835920780055234,0.999838547650833,"Klra17",1
"Cbx3",0.0325865481365349,0.0861017415929594,"Cbx3",1
"Gm15728",0.991216149807489,0.999838547650833,"Gm15728",1
"Rprd1a",0.793133643769849,0.999838547650833,"Rprd1a",1
"Tmem229a",0.705111850667994,0.999838547650833,"Tmem229a",1
"Ppfibp2",0.192799587185941,0.410211887629661,"Ppfibp2",1
"Ifih1",4.09218286863706e-08,2.18833308483265e-07,"Ifih1",1
"Dusp3",6.16969536046001e-10,3.78508917819633e-09,"Dusp3",1
"Pla2g7",7.11019394218784e-73,3.30706694985481e-71,"Pla2g7",1
"Gpihbp1",0.914642796211362,0.999838547650833,"Gpihbp1",1
"Mcoln3",0.99668511758549,0.999838547650833,"Mcoln3",1
"A930007I19Rik",0.39335745201762,0.723748761761951,"A930007I19Rik",1
"Dlg4",0.534428462224445,0.881960846090817,"Dlg4",1
"Klhl6",1.32349260094734e-15,1.16607277616506e-14,"Klhl6",1
"Chaf1b",0.785430998949443,0.999838547650833,"Chaf1b",1
"Rab3il1",3.28101346187088e-08,1.77352079020048e-07,"Rab3il1",1
"Ahsg",0.903792727616306,0.999838547650833,"Ahsg",1
"Epb41l1",0.225292537978968,0.466444178010286,"Epb41l1",1
"Sc5d",0.626550847990694,0.972150268410697,"Sc5d",1
"Rxra",4.01676557530185e-15,3.41852389387392e-14,"Rxra",1
"Zdhhc14",0.013602169808938,0.0390866948532701,"Zdhhc14",1
"Zcwpw1",0.95613060613944,0.999838547650833,"Zcwpw1",1
"Gla",0.0401560798215814,0.103896713639279,"Gla",1
"Dcbld1",0.947196497222942,0.999838547650833,"Dcbld1",1
"Spata7",0.781327850126872,0.999838547650833,"Spata7",1
"Hmgcs1",0.127572508547289,0.28797405992616,"Hmgcs1",1
"Gm13391",0.794914214236758,0.999838547650833,"Gm13391",1
"Nap1l1",0.00942918227695249,0.0278146969821607,"Nap1l1",1
"Ctsb",4.98794653281917e-33,8.75078339091083e-32,"Ctsb",1
"Nxpe2",0.996347124923003,0.999838547650833,"Nxpe2",1
"Pqlc3",0.287250226330848,0.570506904331376,"Pqlc3",1
"Garnl3",0.905730909922459,0.999838547650833,"Garnl3",1
"Gpr146",0.0016776314762223,0.00566767390615641,"Gpr146",1
"Asns",0.886383919622364,0.999838547650833,"Asns",1
"Aqp1",0.708736607646318,0.999838547650833,"Aqp1",1
"Tube1",0.985755675088737,0.999838547650833,"Tube1",1
"C5ar2",0.47517019992947,0.822093771504273,"C5ar2",1
"Fbxo33",0.367325006752872,0.688519225403696,"Fbxo33",1
"Hist1h2br",0.993594916662406,0.999838547650833,"Hist1h2br",1
"Col27a1",0.909746822167795,0.999838547650833,"Col27a1",1
"Bora",0.766033839720005,0.999838547650833,"Bora",1
"Siglecf",0.80052977157157,0.999838547650833,"Siglecf",1
"Rbbp7",0.493628462176896,0.843809337054524,"Rbbp7",1
"Crispld2",0.897916051515355,0.999838547650833,"Crispld2",1
"Fam167a",0.345617202121374,0.65644292900546,"Fam167a",1
"Nolc1",0.890796123200103,0.999838547650833,"Nolc1",1
"Kcnk12",0.997078119884323,0.999838547650833,"Kcnk12",1
"Mastl",0.866921274478464,0.999838547650833,"Mastl",1
"Csprs",0.864382971027787,0.999838547650833,"Csprs",1
"Rest",0.863907020126978,0.999838547650833,"Rest",1
"Tsc22d2",0.698548428254514,0.999838547650833,"Tsc22d2",1
"Baiap2",0.00292908668423125,0.00946393112837238,"Baiap2",1
"Fnip2",0.264289239936956,0.53608365098774,"Fnip2",1
"Trim37",0.929826668075334,0.999838547650833,"Trim37",1
"Dhrs9",0.979110803988986,0.999838547650833,"Dhrs9",1
"Lims2",0.987604719173967,0.999838547650833,"Lims2",1
"Aldh1a1",0.896848996283607,0.999838547650833,"Aldh1a1",1
"Gpr137b",0.642517232435348,0.977956213752432,"Gpr137b",1
"Arhgap11a",0.489559201016942,0.839004628992188,"Arhgap11a",1
"Hopx",0.948491483664361,0.999838547650833,"Hopx",1
"Gm26759",0.698050682690848,0.999838547650833,"Gm26759",1
"Clec4a1",4.66389212422995e-35,8.55760022794486e-34,"Clec4a1",1
"Lin54",0.517671232993124,0.864947757716164,"Lin54",1
"Nop56",0.350362595797589,0.662407690907534,"Nop56",1
"Serpina1a",0.794410439952038,0.999838547650833,"Serpina1a",1
"Hepacam2",0.792278708541347,0.999838547650833,"Hepacam2",1
"Mapkapk2",2.34849421343844e-06,1.07482572697411e-05,"Mapkapk2",1
"Lars2",9.42416079533153e-05,0.000378480353226166,"Lars2",1
"Mamdc2",0.993934554040294,0.999838547650833,"Mamdc2",1
"Ripk2",0.637576953761052,0.97712943105142,"Ripk2",1
"Maged1",0.488368581520234,0.837681958010692,"Maged1",1
"P3h3",0.43682578829038,0.777962223135137,"P3h3",1
"Gm45902",0.998628299632773,0.999838547650833,"Gm45902",1
"Rfwd3",0.764885536358182,0.999838547650833,"Rfwd3",1
"E2f1",0.516919462799543,0.864413817390541,"E2f1",1
"Azin1",0.522081341228993,0.870045891891865,"Azin1",1
"Rgs1",4.69795681204182e-13,3.4929046929679e-12,"Rgs1",1
"Fam72a",0.877652240977774,0.999838547650833,"Fam72a",1
"Hpx",0.769956110566093,0.999838547650833,"Hpx",1
"Ccdc102a",0.0528950432140196,0.132893153055051,"Ccdc102a",1
"P3h2",0.936939922224094,0.999838547650833,"P3h2",1
"Spty2d1",0.120136966853411,0.273660516750367,"Spty2d1",1
"AU022793",0.161446709744972,0.352119323326001,"AU022793",1
"Tnfsf10",0.52421088347126,0.871506040683724,"Tnfsf10",1
"Hjurp",0.298293383756131,0.588349869341482,"Hjurp",1
"Pld3",1.48684798192975e-06,6.91557200897559e-06,"Pld3",1
"Stk17b",1.42490908304637e-06,6.68971400491255e-06,"Stk17b",1
"Abcg3",1.42996206095286e-06,6.69525124585791e-06,"Abcg3",1
"Adra1a",0.961658145078453,0.999838547650833,"Adra1a",1
"Filip1l",3.65422017939098e-13,2.75790202218187e-12,"Filip1l",1
"Akr1b8",0.84389482905381,0.999838547650833,"Akr1b8",1
"Bin1",5.71532862206684e-05,0.000234715754499665,"Bin1",1
"Il21r",2.67913180092458e-05,0.000112568563064058,"Il21r",1
"Ttc36",0.856793276555065,0.999838547650833,"Ttc36",1
"Isca1",0.82148979590826,0.999838547650833,"Isca1",1
"Atp2b4",0.99928307033432,0.999838547650833,"Atp2b4",1
"Apbb2",0.513973370689162,0.861417233131913,"Apbb2",1
"St6gal1",0.275479394690707,0.550408381000414,"St6gal1",1
"E2f2",0.510896646213969,0.861417233131913,"E2f2",1
"Flt3",0.976628960443697,0.999838547650833,"Flt3",1
"AC163018.1",0.6205815361159,0.970416788296951,"AC163018.1",1
"March3",0.844544858442192,0.999838547650833,"March3",1
"Serpinf1",0.288088226750215,0.571603624504394,"Serpinf1",1
"B230369F24Rik",0.950907791174914,0.999838547650833,"B230369F24Rik",1
"S1pr1",0.831832814529018,0.999838547650833,"S1pr1",1
"Cd37",0.000864307160230783,0.00307582619299211,"Cd37",1
"Cib1",0.00238895476158372,0.00783263856256956,"Cib1",1
"Kctd12",0.000105602410583353,0.000419890300530233,"Kctd12",1
"Calr",2.66699736798117e-31,4.37212683275602e-30,"Calr",1
"Mphosph8",0.407292845475641,0.741206270201349,"Mphosph8",1
"Xk",0.972707966512976,0.999838547650833,"Xk",1
"Gm33195",0.988585954099008,0.999838547650833,"Gm33195",1
"Cebpzos",1.71733433312376e-08,9.54074629513199e-08,"Cebpzos",1
"Celf4",0.930087007326902,0.999838547650833,"Celf4",1
"Gtf2ird1",0.537786764795145,0.885245703366494,"Gtf2ird1",1
"Apobr",0.756269429595107,0.999838547650833,"Apobr",1
"Dusp23",0.490042950620506,0.839114641473468,"Dusp23",1
"Amn1",0.720058967728455,0.999838547650833,"Amn1",1
"Pilrb2",9.74592690336408e-16,8.66304613632363e-15,"Pilrb2",1
"Hap1",0.101594109104019,0.236816105137573,"Hap1",1
"Plpp5",0.570555689737484,0.919509572501989,"Plpp5",1
"Mapk6",0.0589839795179219,0.145999949301787,"Mapk6",1
"Usp11",0.89121125560043,0.999838547650833,"Usp11",1
"Chst15",0.444699323738827,0.787078449095269,"Chst15",1
"Gm32089",0.796926092597686,0.999838547650833,"Gm32089",1
"Spsb4",0.997719610233762,0.999838547650833,"Spsb4",1
"Plk4",0.888359799505095,0.999838547650833,"Plk4",1
"Ptcra",0.995166453391218,0.999838547650833,"Ptcra",1
"Lsr",0.668527941024933,0.997802897052138,"Lsr",1
"Pdia6",1.49328552488493e-10,9.45117420813246e-10,"Pdia6",1
"Cep83",0.245746164538294,0.504094696488808,"Cep83",1
"Dscc1",0.991290444340507,0.999838547650833,"Dscc1",1
"Zfp839",0.815179136335479,0.999838547650833,"Zfp839",1
"Ifi214",0.850980192553924,0.999838547650833,"Ifi214",1
"Dnajc25",0.693633761193213,0.999838547650833,"Dnajc25",1
"Trim13",0.913708975280384,0.999838547650833,"Trim13",1
"Ercc6l",0.971409809855518,0.999838547650833,"Ercc6l",1
"Efnb1",0.758384896482739,0.999838547650833,"Efnb1",1
"Idh1",2.92010826027124e-16,2.64263190974773e-15,"Idh1",1
"Gm10138",0.965726644429726,0.999838547650833,"Gm10138",1
"Usp1",0.74314028401271,0.999838547650833,"Usp1",1
"Jag1",0.539051403362695,0.886274659718588,"Jag1",1
"Clic5",0.995154561820479,0.999838547650833,"Clic5",1
"6030408B16Rik",0.976853153424353,0.999838547650833,"6030408B16Rik",1
"Smc3",0.256157587113448,0.522770585945812,"Smc3",1
"Fbxo30",0.842170314850932,0.999838547650833,"Fbxo30",1
"Nr1d1",0.942254526976314,0.999838547650833,"Nr1d1",1
"Hnrnpll",2.1744122841562e-06,1.00203331067106e-05,"Hnrnpll",1
"Etfb",0.561912576786288,0.911263092041124,"Etfb",1
"Erc2",0.993863678801866,0.999838547650833,"Erc2",1
"Mfsd3",0.960043135519821,0.999838547650833,"Mfsd3",1
"Ms4a6b",9.49833016753856e-16,8.48065193530229e-15,"Ms4a6b",1
"Tchh",0.960221187304306,0.999838547650833,"Tchh",1
"Cd300lf",4.65022202207335e-14,3.73511809001875e-13,"Cd300lf",1
"Scn3b",0.918042505789831,0.999838547650833,"Scn3b",1
"Slamf1",0.994937952627564,0.999838547650833,"Slamf1",1
"Wdhd1",0.809206320459439,0.999838547650833,"Wdhd1",1
"Fem1b",0.480652896594791,0.827998099215834,"Fem1b",1
"Gnl3",0.0369956624202756,0.0963559261249664,"Gnl3",1
"Ank",0.804059895471012,0.999838547650833,"Ank",1
"Dclre1c",0.401166370895054,0.734450897973426,"Dclre1c",1
"Tdo2",0.939693744122723,0.999838547650833,"Tdo2",1
"Prex2",0.969209030752554,0.999838547650833,"Prex2",1
"Cntrl",0.168562701205239,0.365645772679477,"Cntrl",1
"Fam213b",0.22403036509675,0.465275939972482,"Fam213b",1
"Ddx39",0.171447769439213,0.369898100192477,"Ddx39",1
"Krr1",0.513583691951307,0.861417233131913,"Krr1",1
"Bzw2",0.678469968768151,0.999838547650833,"Bzw2",1
"Marveld1",0.479914920106023,0.827707501218949,"Marveld1",1
"Map3k8",0.0167473328250503,0.0469770906733528,"Map3k8",1
"Rasgrp1",2.36325192961834e-06,1.07911047014536e-05,"Rasgrp1",1
"Ggct",0.204713771490489,0.431430498399345,"Ggct",1
"Trem3",0.883128841118914,0.999838547650833,"Trem3",1
"Sigmar1",0.381003173075453,0.708843112698517,"Sigmar1",1
"Trim30d",1.18239543133287e-10,7.555242372734e-10,"Trim30d",1
"Mrgpre",0.450655792174247,0.793625066759201,"Mrgpre",1
"Rora",0.794958959888918,0.999838547650833,"Rora",1
"Grk3",9.57329862660153e-06,4.21731217030904e-05,"Grk3",1
"Sept4",0.929970882685926,0.999838547650833,"Sept4",1
"Pcdhgc4",0.994752413382323,0.999838547650833,"Pcdhgc4",1
"Panx1",0.611803635519628,0.96212901110471,"Panx1",1
"Gfod1",0.775863828810015,0.999838547650833,"Gfod1",1
"Hdac9",0.0750361100696194,0.181905721380896,"Hdac9",1
"A530064D06Rik",0.733234583380942,0.999838547650833,"A530064D06Rik",1
"Enox2",0.223712052925454,0.465097823129842,"Enox2",1
"Mcub",0.1970023331281,0.41826397691741,"Mcub",1
"Cacna1b",0.972676657297782,0.999838547650833,"Cacna1b",1
"Gpr65",1.72686349071376e-16,1.56987590064888e-15,"Gpr65",1
"Nxnl2",0.995667006559073,0.999838547650833,"Nxnl2",1
"Sfxn3",0.170783582232989,0.369661433404738,"Sfxn3",1
"Cenpc1",0.939046899444959,0.999838547650833,"Cenpc1",1
"Mier3",0.725064431460664,0.999838547650833,"Mier3",1
"Abcb4",0.949837136520299,0.999838547650833,"Abcb4",1
"2900060B14Rik",0.785635461652131,0.999838547650833,"2900060B14Rik",1
"Usb1",0.567402090035874,0.916859703980114,"Usb1",1
"Spint2",0.856146333219325,0.999838547650833,"Spint2",1
"Ranbp2",0.151711360230338,0.333431560945798,"Ranbp2",1
"Tnfsf12",0.0766745686185292,0.185347881864777,"Tnfsf12",1
"Asprv1",0.926108591017008,0.999838547650833,"Asprv1",1
"Coq7",0.601844014314984,0.953561957927856,"Coq7",1
"Tmem215",0.989534668264375,0.999838547650833,"Tmem215",1
"Phf11a",0.114636127961757,0.262325235610428,"Phf11a",1
"Cbx4",0.582824114554751,0.931859362268832,"Cbx4",1
"Ppt1",0.00433596145938124,0.0135498795605664,"Ppt1",1
"4930455G09Rik",0.27170223231578,0.545039583381705,"4930455G09Rik",1
"Ifitm10",0.889530769773362,0.999838547650833,"Ifitm10",1
"Zfand5",2.20925416166771e-19,2.24289762605859e-18,"Zfand5",1
"Cd200r1",0.0933734872013923,0.219961100592208,"Cd200r1",1
"Sdc2",0.850656557187625,0.999838547650833,"Sdc2",1
"Cd200",0.981981537666264,0.999838547650833,"Cd200",1
"Snx6",0.0339749184062901,0.0894076800165529,"Snx6",1
"P4hb",0.064901561720761,0.159659438427456,"P4hb",1
"Lonrf3",0.978273759203398,0.999838547650833,"Lonrf3",1
"Gpr157",0.632853858269096,0.974629209788913,"Gpr157",1
"Hsd11b1",0.924393839555576,0.999838547650833,"Hsd11b1",1
"Aif1",2.26804563735873e-41,5.27452473804355e-40,"Aif1",1
"Lrp12",0.651626249269986,0.985818833993927,"Lrp12",1
"Kynu",0.145579941086818,0.321368523370458,"Kynu",1
"Gm5547",0.3338199310419,0.641957826599683,"Gm5547",1
"Naa25",0.108422141673786,0.250108746652333,"Naa25",1
"Ccr5",7.44040165140909e-14,5.88174043589651e-13,"Ccr5",1
"Dhrs1",0.000238643833953317,0.000914344191392018,"Dhrs1",1
"Fbxl22",0.903198407459483,0.999838547650833,"Fbxl22",1
"Stbd1",0.3619985013626,0.682372292860698,"Stbd1",1
"Gnpda1",0.0918788253759912,0.217980605874238,"Gnpda1",1
"Slc38a1",0.16503277076952,0.358377352376807,"Slc38a1",1
"Runx1t1",0.97333520231942,0.999838547650833,"Runx1t1",1
"Hook1",0.983335034880768,0.999838547650833,"Hook1",1
"Fam214b",0.383450687977941,0.711411294949797,"Fam214b",1
"Ypel2",0.734252014224025,0.999838547650833,"Ypel2",1
"Selenbp1",0.832503773394216,0.999838547650833,"Selenbp1",1
"Lifr",5.1978723843507e-12,3.63918497726367e-11,"Lifr",1
"Stard8",0.265006883966467,0.536994699020196,"Stard8",1
"Arfgef2",0.731480755528528,0.999838547650833,"Arfgef2",1
"Pknox1",0.713335497880369,0.999838547650833,"Pknox1",1
"Mid1",0.910948448722054,0.999838547650833,"Mid1",1
"Cdh1",0.900720819132062,0.999838547650833,"Cdh1",1
"Gm26737",0.995039391208044,0.999838547650833,"Gm26737",1
"Phc1",0.9502168564238,0.999838547650833,"Phc1",1
"Mindy1",0.171309784012718,0.369898100192477,"Mindy1",1
"Dpy19l3",0.639257646522582,0.977956213752432,"Dpy19l3",1
"Col4a1",0.893271214941627,0.999838547650833,"Col4a1",1
