"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Itih1",0.00993846305441745,2.55714795874072,0.01,0.002,1,"C","Itih1"
"Rasip1",0.0099455366575656,0.765103179357219,0.035,0.017,1,"C","Rasip1"
"Gm28557",0.00996014518011808,0.920152074406394,0.054,0.031,1,"C","Gm28557"
"Polr3g",0.00997097376814373,-0.759976726926783,0.035,0.064,1,"C","Polr3g"
"Serpinc1",0.00997899150972193,1.20675610044604,0.031,0.014,1,"C","Serpinc1"
"Snhg10.2",0.00998844879536712,-1.04560981995976,0.013,0.035,1,"C","Snhg10"
"Cd300c",0.00998999320548654,0.763549143353783,0.021,0.008,1,"C","Cd300c"
"Timd4.2",0,5.99872558706705,0.941,0.055,0,"D","Timd4"
"Kcna2.2",0,6.11785842543175,0.704,0.018,0,"D","Kcna2"
"C6.2",7.16707810337103e-303,5.43237951512659,0.966,0.077,2.2255927634398e-298,"D","C6"
"Paqr9.2",1.53939295548168e-299,5.24539890283875,0.828,0.042,4.78027694465725e-295,"D","Paqr9"
"Pcolce2.3",6.10122306764069e-265,5.9481771837712,0.64,0.021,1.89461279919446e-260,"D","Pcolce2"
"Cdh5.3",2.41588368397178e-250,4.55119811463076,0.946,0.1,7.50204360383755e-246,"D","Cdh5"
"Dysf.2",2.26850159354496e-199,5.74238701621465,0.463,0.012,7.04437799843517e-195,"D","Dysf"
"Slc45a3.3",3.78972860298572e-199,5.09724127455866,0.502,0.017,1.17682442308516e-194,"D","Slc45a3"
"Crip2.2",2.48839941110922e-191,4.66470204783292,0.591,0.034,7.72722669131746e-187,"D","Crip2"
"Kcnj16.3",3.26105013308735e-188,5.71192593538197,0.424,0.01,1.01265389782761e-183,"D","Kcnj16"
"Clec4f.3",5.03909284118998e-177,5.12377273739803,1,0.255,1.56478949997472e-172,"D","Clec4f"
"Vsig4.3",9.21833040355762e-177,4.15102992084948,0.995,0.225,2.86256814021675e-172,"D","Vsig4"
"C2.2",1.26750934497137e-175,5.04353844981152,0.571,0.037,3.93599676893959e-171,"D","C2"
"Slc16a9.2",3.25161357415721e-174,4.67743022051076,0.522,0.027,1.00972356318304e-169,"D","Slc16a9"
"Tspan15.2",3.5168335703475e-172,3.99983130947265,0.69,0.065,1.09208232860001e-167,"D","Tspan15"
"Cxcl13.2",3.09852646024506e-160,3.70778671764,0.542,0.037,9.62185421699897e-156,"D","Cxcl13"
"Icos.2",5.53574547530783e-159,5.11549115270141,0.389,0.011,1.71901504244734e-154,"D","Icos"
"Dmpk.3",2.78723868380229e-157,3.0374493783757,0.961,0.192,8.65521228481125e-153,"D","Dmpk"
"Cd5l.3",2.40001840268441e-155,4.08690817549517,1,0.298,7.45277714585591e-151,"D","Cd5l"
"Scd1.2",2.01206254610305e-154,3.39423621584982,0.635,0.06,6.24805782441381e-150,"D","Scd1"
"Slc1a3.3",8.26529394615781e-148,5.02955971099201,0.369,0.011,2.56662172910039e-143,"D","Slc1a3"
"Folr2.3",3.76517437393641e-146,3.47300237157647,0.99,0.304,1.16919959833847e-141,"D","Folr2"
"Marco.3",1.32717508368614e-145,4.09855952752111,0.788,0.132,4.12127678737056e-141,"D","Marco"
"Fcna.3",2.27002196769554e-144,3.62862482316664,0.985,0.296,7.04909921628495e-140,"D","Fcna"
"Ptgis.2",9.84107701257253e-143,3.71997383531012,0.404,0.018,3.05594964471415e-138,"D","Ptgis"
"Tmem26.1",8.80229059628085e-132,3.4616781516175,0.685,0.094,2.73337529886309e-127,"D","Tmem26"
"Stab2.3",1.62047238326803e-130,3.65209137557885,0.557,0.055,5.03205289176223e-126,"D","Stab2"
"Cd300e.3",6.01818612226078e-130,3.3564983768288,0.542,0.049,1.86882733654564e-125,"D","Cd300e"
"Fam167a.2",1.04877631938505e-129,4.65892193304034,0.374,0.017,3.25676510458641e-125,"D","Fam167a"
"Gfra2.2",5.1449274428907e-129,4.76724389524101,0.365,0.016,1.59765431884085e-124,"D","Gfra2"
"Apoc1.3",4.37151613529538e-128,4.23533122600862,0.99,0.445,1.35748690549327e-123,"D","Apoc1"
"Actn1.3",3.8858581893096e-127,2.9102960770295,0.956,0.288,1.20667554352631e-122,"D","Actn1"
"Adgre4.3",1.0082423203462e-125,2.84616096873535,0.897,0.207,3.13089487737106e-121,"D","Adgre4"
"Btbd11.3",2.41136754998696e-124,4.47047298124923,0.409,0.025,7.48801965297451e-120,"D","Btbd11"
"Gbp2b.2",6.50315661921935e-122,3.18676517998897,0.709,0.109,2.01942522496619e-117,"D","Gbp2b"
"Nr1h3.3",7.40945896893737e-118,2.88320193769291,0.97,0.351,2.30085929362412e-113,"D","Nr1h3"
"Epb41l3.2",6.31155845810178e-117,3.10506817076208,0.719,0.121,1.95992824799435e-112,"D","Epb41l3"
"Clec1b.3",1.42344801646754e-116,2.5876748373492,0.956,0.301,4.42023312553666e-112,"D","Clec1b"
"Adcy4.3",7.19982042226074e-115,3.45781236319707,0.611,0.084,2.23576023572463e-110,"D","Adcy4"
"Sdc3.3",2.33069288656809e-111,2.67993076134135,1,0.8,7.2375006206599e-107,"D","Sdc3"
"Fabp7.3",4.67336372240499e-110,2.58859036992065,0.833,0.185,1.45121963671842e-105,"D","Fabp7"
"Helz2.3",4.71378615229545e-110,2.72807187856332,0.901,0.238,1.46377201387231e-105,"D","Helz2"
"Slc40a1.3",3.06208551869523e-105,2.79589135465613,0.995,0.505,9.50869416120431e-101,"D","Slc40a1"
"Sema6d.2",1.18956860699216e-100,2.55506987892798,0.842,0.217,3.69396739529274e-96,"D","Sema6d"
"Cd163.2",3.46910804104286e-100,2.72659532617278,0.744,0.177,1.07726211998504e-95,"D","Cd163"
"Irf7.3",7.35189269427477e-100,2.23381513093726,0.99,0.385,2.28298323835315e-95,"D","Irf7"
"Slc1a2.2",1.0846336021484e-98,4.9006012575037,0.256,0.009,3.36811272475141e-94,"D","Slc1a2"
"Heg1.3",6.94744370767605e-95,3.124508324951,0.527,0.072,2.15738969454465e-90,"D","Heg1"
"Cd300ld.3",2.03905581485914e-94,2.40032146594813,0.966,0.55,6.33188002188207e-90,"D","Cd300ld"
"Hpgd.2",1.9036725269083e-93,2.26175585457302,0.98,0.484,5.91147429780835e-89,"D","Hpgd"
"C4b.2",7.03724435996238e-93,2.52395853050663,0.916,0.351,2.18527549109912e-88,"D","C4b"
"Smc1b.2",7.11914154943475e-93,3.98644613512991,0.345,0.025,2.21070702534597e-88,"D","Smc1b"
"Creg1.3",1.10205968015802e-91,1.6109314182577,0.995,0.957,3.42222592479471e-87,"D","Creg1"
"Plac8.3",1.18969539530075e-91,2.57032574726916,0.833,0.256,3.69436111102741e-87,"D","Plac8"
"Ptprm.2",3.76665491317693e-90,3.34392458400816,0.463,0.056,1.16965935018883e-85,"D","Ptprm"
"Il18bp.3",4.79500425801393e-90,2.16932387335995,0.985,0.524,1.48899267224106e-85,"D","Il18bp"
"Rims3.2",1.05789578569939e-89,3.63906651490859,0.414,0.044,3.28508378333232e-85,"D","Rims3"
"Cfp.3",4.01730914596061e-89,1.83917401546613,1,0.815,1.24749500909515e-84,"D","Cfp"
"Cd55.2",2.01052531252029e-88,4.07809951036853,0.31,0.021,6.24328425296925e-84,"D","Cd55"
"Pira2.3",2.41884625661461e-88,2.59364232870637,0.837,0.284,7.51124328066536e-84,"D","Pira2"
"Fpr1.3",1.97942801351149e-87,2.45507239294293,0.759,0.182,6.14671781035723e-83,"D","Fpr1"
"Ccl24.3",2.31492344641008e-87,2.18418465589734,0.897,0.303,7.18853177813722e-83,"D","Ccl24"
"Gpm6b.3",7.05632987140405e-87,5.35249068427787,0.222,0.007,2.1912021149671e-82,"D","Gpm6b"
"Rps18.3",1.90680760109936e-86,-1.30726272959981,0.995,0.997,5.92120964369384e-82,"D","Rps18"
"Syn1.2",4.97940058853862e-86,4.2909252151548,0.261,0.013,1.5462532647589e-81,"D","Syn1"
"Rplp0.3",6.94181067082712e-85,-1.24205028801226,1,0.999,2.15564046761195e-80,"D","Rplp0"
"Dmwd.2",7.33168607117389e-85,3.67583454184849,0.35,0.03,2.27670847568163e-80,"D","Dmwd"
"Siglece.1",1.49303944579712e-84,2.33469244390896,0.941,0.464,4.63633539103381e-80,"D","Siglece"
"Itgal.3",2.0311013237806e-84,2.01249481941985,0.99,0.682,6.30717894073589e-80,"D","Itgal"
"St3gal5.2",1.04418399926073e-83,1.96436706889173,0.98,0.563,3.24250457290435e-79,"D","St3gal5"
"Rpl32.3",4.28946547121396e-83,-1.0992492111305,1,0.998,1.33200771277607e-78,"D","Rpl32"
"Klrk1.3",2.77745890515795e-82,2.79826322853325,0.488,0.069,8.62484313818698e-78,"D","Klrk1"
"Xlr.1",1.7416497873092e-81,2.75301208782408,0.433,0.052,5.40834508453126e-77,"D","Xlr"
"Sh3bp5.1",3.05739291282165e-81,2.3736975677198,0.921,0.391,9.49412221218506e-77,"D","Sh3bp5"
"Rpl13.3",8.69997364913016e-81,-0.936602429605733,1,0.999,2.70160281726439e-76,"D","Rpl13"
"Ccdc148.2",9.9814610529527e-81,3.83023063723088,0.271,0.016,3.0995431007734e-76,"D","Ccdc148"
"Cd207.3",1.38826201537004e-80,1.00450768432489,0.567,0.092,4.31097003632859e-76,"D","Cd207"
"Tmem229a.2",2.08404749111735e-80,4.3293136847536,0.222,0.009,6.4715926741667e-76,"D","Tmem229a"
"Fgfr1.3",8.57694859021174e-80,2.80299963767621,0.305,0.023,2.66339984571845e-75,"D","Fgfr1"
"Rps24.2",1.06086269019373e-79,-0.777125738525741,1,1,3.2942969118586e-75,"D","Rps24"
"BC005537.3",3.9543291865865e-79,1.54442969735515,1,0.938,1.22793784231071e-74,"D","BC005537"
"Rpl11.3",2.47608214225378e-78,-0.96800466136885,1,0.998,7.68897787634067e-74,"D","Rpl11"
"Oasl1.3",5.74391279460358e-78,2.39388053073352,0.685,0.159,1.78365724010825e-73,"D","Oasl1"
"Treml4.3",1.24546745186862e-76,2.10133578934651,0.828,0.271,3.86755007828763e-72,"D","Treml4"
"Chp2.2",3.78910131087208e-76,2.95833461719548,0.458,0.066,1.17662963006511e-71,"D","Chp2"
"Ksr2.2",7.57222769899675e-76,3.75047323671324,0.315,0.028,2.35140386736946e-71,"D","Ksr2"
"Rpl12.3",1.07536792932928e-75,-1.02252301452963,0.99,0.996,3.33934003094621e-71,"D","Rpl12"
"Rps10.3",4.1615261355248e-75,-0.830039206443035,1,0.999,1.29227871086451e-70,"D","Rps10"
"Mpzl1.2",4.64178252179599e-75,4.1952456489921,0.271,0.019,1.44141272649331e-70,"D","Mpzl1"
"Arap2.2",9.15068008861503e-75,3.24051344033555,0.429,0.059,2.84156068791762e-70,"D","Arap2"
"Cd44.3",9.34546903107975e-75,1.75095921642579,0.99,0.828,2.9020484982212e-70,"D","Cd44"
"Tspan9.2",1.93735444912669e-74,4.51955851570833,0.232,0.012,6.01606677087311e-70,"D","Tspan9"
"Spic.3",3.08956459856816e-74,2.5984276223032,0.685,0.174,9.59402494793372e-70,"D","Spic"
"Ephx1.2",7.44133241432204e-74,2.52678916556575,0.586,0.12,2.31075695461942e-69,"D","Ephx1"
"Rps13.3",3.22160504280212e-73,-0.854932227404616,0.995,0.997,1.00040501394134e-68,"D","Rps13"
"Rpl10a.3",5.52088308611054e-73,-0.946524167991291,0.99,0.997,1.7143998247299e-68,"D","Rpl10a"
"Rps2.3",7.919471880014e-73,-1.00753927553747,1,0.997,2.45923360290075e-68,"D","Rps2"
"Cadm1.2",1.70166405822933e-72,2.0696153169638,0.911,0.351,5.28417740001955e-68,"D","Cadm1"
"Rps15a.3",1.77359294212106e-72,-0.852539842068163,1,0.998,5.50753816316852e-68,"D","Rps15a"
"Ly6e.2",1.02238041472548e-71,1.22184790360897,1,0.971,3.17479790184702e-67,"D","Ly6e"
"Wfdc17.3",1.42847750373165e-71,1.43432719895119,1,0.972,4.4358511923379e-67,"D","Wfdc17"
"Lilra5.1",1.56700158157459e-71,1.9874529078919,0.916,0.43,4.86601001126359e-67,"D","Lilra5"
"Pilrb1.3",3.70699401308358e-71,2.16329007673319,0.828,0.297,1.15113285088284e-66,"D","Pilrb1"
"Rps3.3",1.02166874709008e-70,-0.919246784134058,1,0.997,3.17258796033882e-66,"D","Rps3"
"Pmp22.2",2.67404182237881e-70,1.93365248501928,0.685,0.164,8.30370207103292e-66,"D","Pmp22"
"Rpl3.3",3.11285342843914e-70,-0.958317279197555,1,0.998,9.66634375133207e-66,"D","Rpl3"
"Adamdec1.1",4.89967378766806e-70,1.82460863188444,0.695,0.164,1.52149570128456e-65,"D","Adamdec1"
"Bmpr1a.2",8.37310510663422e-70,3.7623215393022,0.212,0.01,2.60010032876312e-65,"D","Bmpr1a"
"Rps3a1.3",2.06411008693447e-69,-0.759435338625862,1,0.999,6.4096810529576e-65,"D","Rps3a1"
"Rpl18.3",2.88786246942698e-69,-0.881528874376087,0.995,0.997,8.96767932631161e-65,"D","Rpl18"
"Pltp.3",1.48766305884881e-68,1.69440774646665,0.975,0.7,4.61964009664321e-64,"D","Pltp"
"Myo9a.3",1.77784012693379e-68,1.91431146297315,0.916,0.448,5.52072694616751e-64,"D","Myo9a"
"Rpl34.3",2.62690258765625e-68,-0.790025723496978,1,0.998,8.15732060544896e-64,"D","Rpl34"
"Ifit2.3",5.38193560677296e-68,1.90925187052701,0.714,0.188,1.67125246397121e-63,"D","Ifit2"
